"yes","lieuTrajet","typeTrajet","debutKilometrage","arriveKilometrage","dateDepart ","heureDepart","dateArrive","heureArrive","montantCarburant","quantiteCarburant","motif","chauffeur_id","voiture_id"
"1","","","","","","","","","","","","",""
"2","","","","","","","","","","","","",""
"3","","","","","","","","","","","","",""
